d,model,num_iters
10,simple_tgp_multi,102593
10,simple_tgp_multi,50027
10,simple_tgp_multi,150647
10,simple_tgp_multi,47703
10,simple_tgp_multi,75374
10,simple_tgp_multi,108998
10,simple_tgp_multi,66081
10,simple_tgp_multi,85335
10,simple_tgp_multi,75297
10,simple_tgp_multi,110899
10,simple_tgp_multi,66720
10,simple_tgp_multi,72990
10,simple_tgp_multi,97433
10,simple_tgp_multi,72213
1,simple_tgp_single,12
1,simple_tgp_single,4
1,simple_tgp_single,6
1,simple_tgp_single,8
1,simple_tgp_single,6
1,simple_tgp_single,8
1,simple_tgp_single,40
1,simple_tgp_single,6
1,simple_tgp_single,4
1,simple_tgp_single,12
1,simple_tgp_single,10
1,simple_tgp_single,14
1,simple_tgp_single,8
1,simple_tgp_single,8
1,simple_tgp_single,8
1,simple_tgp_single,10
1,simple_tgp_single,10
1,simple_tgp_single,26
1,simple_tgp_single,4
1,simple_tgp_single,4
1,simple_tgp_single,8
1,simple_tgp_single,10
1,simple_tgp_single,4
1,simple_tgp_single,8
1,simple_tgp_single,18
1,simple_tgp_single,8
1,simple_tgp_single,16
1,simple_tgp_single,4
1,simple_tgp_single,12
1,simple_tgp_single,10
2,simple_tgp_single,34
2,simple_tgp_single,24
2,simple_tgp_single,38
2,simple_tgp_single,16
2,simple_tgp_single,44
2,simple_tgp_single,26
2,simple_tgp_single,92
2,simple_tgp_single,8
2,simple_tgp_single,58
2,simple_tgp_single,20
2,simple_tgp_single,36
2,simple_tgp_single,80
2,simple_tgp_single,22
2,simple_tgp_single,42
2,simple_tgp_single,36
2,simple_tgp_single,26
2,simple_tgp_single,30
2,simple_tgp_single,52
2,simple_tgp_single,38
2,simple_tgp_single,24
2,simple_tgp_single,36
2,simple_tgp_single,30
2,simple_tgp_single,20
2,simple_tgp_single,48
2,simple_tgp_single,8
2,simple_tgp_single,16
2,simple_tgp_single,34
2,simple_tgp_single,22
2,simple_tgp_single,28
2,simple_tgp_single,20
3,simple_tgp_single,64
3,simple_tgp_single,118
3,simple_tgp_single,94
3,simple_tgp_single,106
3,simple_tgp_single,72
3,simple_tgp_single,80
3,simple_tgp_single,76
3,simple_tgp_single,60
3,simple_tgp_single,154
3,simple_tgp_single,56
3,simple_tgp_single,152
3,simple_tgp_single,102
3,simple_tgp_single,80
3,simple_tgp_single,56
3,simple_tgp_single,148
3,simple_tgp_single,112
3,simple_tgp_single,64
3,simple_tgp_single,84
3,simple_tgp_single,82
3,simple_tgp_single,104
3,simple_tgp_single,46
3,simple_tgp_single,82
3,simple_tgp_single,132
3,simple_tgp_single,104
3,simple_tgp_single,146
3,simple_tgp_single,202
3,simple_tgp_single,78
3,simple_tgp_single,86
3,simple_tgp_single,86
3,simple_tgp_single,92
4,simple_tgp_single,182
4,simple_tgp_single,246
4,simple_tgp_single,194
4,simple_tgp_single,130
4,simple_tgp_single,218
4,simple_tgp_single,226
4,simple_tgp_single,246
4,simple_tgp_single,342
4,simple_tgp_single,184
4,simple_tgp_single,266
4,simple_tgp_single,172
4,simple_tgp_single,568
4,simple_tgp_single,350
4,simple_tgp_single,190
4,simple_tgp_single,358
4,simple_tgp_single,222
4,simple_tgp_single,116
4,simple_tgp_single,250
4,simple_tgp_single,230
4,simple_tgp_single,336
4,simple_tgp_single,250
4,simple_tgp_single,198
4,simple_tgp_single,344
4,simple_tgp_single,294
4,simple_tgp_single,480
4,simple_tgp_single,384
4,simple_tgp_single,362
4,simple_tgp_single,240
4,simple_tgp_single,430
4,simple_tgp_single,204
5,simple_tgp_single,1378
5,simple_tgp_single,482
5,simple_tgp_single,982
5,simple_tgp_single,938
5,simple_tgp_single,720
5,simple_tgp_single,610
5,simple_tgp_single,728
5,simple_tgp_single,1306
5,simple_tgp_single,496
5,simple_tgp_single,850
5,simple_tgp_single,690
5,simple_tgp_single,582
5,simple_tgp_single,580
5,simple_tgp_single,482
5,simple_tgp_single,634
5,simple_tgp_single,914
5,simple_tgp_single,980
5,simple_tgp_single,694
5,simple_tgp_single,358
5,simple_tgp_single,860
5,simple_tgp_single,778
5,simple_tgp_single,654
5,simple_tgp_single,1796
5,simple_tgp_single,966
5,simple_tgp_single,886
5,simple_tgp_single,602
5,simple_tgp_single,608
5,simple_tgp_single,574
5,simple_tgp_single,458
5,simple_tgp_single,756
6,simple_tgp_single,1638
6,simple_tgp_single,3374
6,simple_tgp_single,1688
6,simple_tgp_single,1990
6,simple_tgp_single,3450
6,simple_tgp_single,2418
6,simple_tgp_single,1686
6,simple_tgp_single,1350
6,simple_tgp_single,2226
6,simple_tgp_single,1232
6,simple_tgp_single,2618
6,simple_tgp_single,3966
6,simple_tgp_single,2130
6,simple_tgp_single,4796
6,simple_tgp_single,2174
6,simple_tgp_single,2352
6,simple_tgp_single,3250
6,simple_tgp_single,2782
6,simple_tgp_single,2096
6,simple_tgp_single,2822
6,simple_tgp_single,1444
6,simple_tgp_single,1892
6,simple_tgp_single,4908
6,simple_tgp_single,2726
6,simple_tgp_single,1446
6,simple_tgp_single,4574
6,simple_tgp_single,3072
6,simple_tgp_single,2316
6,simple_tgp_single,2462
6,simple_tgp_single,2156
7,simple_tgp_single,10790
7,simple_tgp_single,4448
7,simple_tgp_single,5624
7,simple_tgp_single,16874
7,simple_tgp_single,4986
7,simple_tgp_single,8628
7,simple_tgp_single,7182
7,simple_tgp_single,6102
7,simple_tgp_single,5698
7,simple_tgp_single,15282
7,simple_tgp_single,9698
7,simple_tgp_single,7964
7,simple_tgp_single,8066
7,simple_tgp_single,7194
7,simple_tgp_single,6730
7,simple_tgp_single,7892
7,simple_tgp_single,5156
7,simple_tgp_single,20632
7,simple_tgp_single,7058
7,simple_tgp_single,14978
7,simple_tgp_single,25076
7,simple_tgp_single,11420
7,simple_tgp_single,14782
7,simple_tgp_single,9346
7,simple_tgp_single,6542
7,simple_tgp_single,12486
7,simple_tgp_single,8508
7,simple_tgp_single,3968
7,simple_tgp_single,35160
7,simple_tgp_single,18978
8,simple_tgp_single,38318
8,simple_tgp_single,28894
8,simple_tgp_single,27874
8,simple_tgp_single,35794
8,simple_tgp_single,22298
8,simple_tgp_single,40468
8,simple_tgp_single,30614
8,simple_tgp_single,36666
8,simple_tgp_single,40348
8,simple_tgp_single,82508
8,simple_tgp_single,35204
8,simple_tgp_single,127208
8,simple_tgp_single,25316
8,simple_tgp_single,23736
8,simple_tgp_single,26870
8,simple_tgp_single,40122
8,simple_tgp_single,48694
8,simple_tgp_single,22248
8,simple_tgp_single,24274
8,simple_tgp_single,68470
8,simple_tgp_single,26646
8,simple_tgp_single,43088
8,simple_tgp_single,40370
8,simple_tgp_single,47064
8,simple_tgp_single,71126
8,simple_tgp_single,32922
8,simple_tgp_single,33932
8,simple_tgp_single,37364
8,simple_tgp_single,40656
8,simple_tgp_single,21814
9,simple_tgp_single,74460
9,simple_tgp_single,73013
9,simple_tgp_single,147560
9,simple_tgp_single,83389
9,simple_tgp_single,86673
9,simple_tgp_single,40625
9,simple_tgp_single,41592
9,simple_tgp_single,147776
9,simple_tgp_single,72238
9,simple_tgp_single,122858
9,simple_tgp_single,62810
9,simple_tgp_single,72029
9,simple_tgp_single,56869
9,simple_tgp_single,141678
9,simple_tgp_single,126057
9,simple_tgp_single,45804
9,simple_tgp_single,106014
9,simple_tgp_single,74713
9,simple_tgp_single,56417
9,simple_tgp_single,80589
9,simple_tgp_single,44541
9,simple_tgp_single,128441
9,simple_tgp_single,94797
9,simple_tgp_single,60104
9,simple_tgp_single,141233
9,simple_tgp_single,114000
9,simple_tgp_single,88970
9,simple_tgp_single,49089
1,simple_cgp_sam,0
1,simple_cgp_sam,5
1,simple_cgp_sam,0
1,simple_cgp_sam,8
1,simple_cgp_sam,0
1,simple_cgp_sam,0
1,simple_cgp_sam,0
1,simple_cgp_sam,0
1,simple_cgp_sam,14
1,simple_cgp_sam,0
1,simple_cgp_sam,1
1,simple_cgp_sam,2
